"id","kind","classification","item","evidence","owner","deficiency","next_action","anchor","line","fingerprint"
"prose.1_purpose_and_decision.24.1","evidence_requirement","INPL","This plan defines how the canonical Lisa actor will consume LiNKbrain and LiNKskills through OpenClaw Prime without replacing native OpenClaw behavior or merging the two domains","Plan-derived item; local fake-tier / docs evidence on branch (not live-proven)","OpenClaw","Live/stage residual unproven","Codex verify classification and evidence","prose.1_purpose_and_decision.24.1","24","eba8a96de47be19e49678e86a93d77ccd4e8cdd456578bff22ad8bf58b1954b8"
"list.1_purpose_and_decision.28.1","task","INPL","one canonical Lisa actor","Plan-derived item; local fake-tier / docs evidence on branch (not live-proven)","OpenClaw","Live/stage residual unproven","Codex verify classification and evidence","list.1_purpose_and_decision.28.1","28","5d954d227e95699918e66c442e6906d2a9a34a34cfebfa7f63e7900a9e5f02d0"
"list.1_purpose_and_decision.29.2","task","INPL","one Lisa OpenClaw runtime binding","Plan-derived item; local fake-tier / docs evidence on branch (not live-proven)","OpenClaw","Live/stage residual unproven","Codex verify classification and evidence","list.1_purpose_and_decision.29.2","29","eb391e09aa4e079bc74a7421d6cab953a0c57738738b43e691f17abef8a4f91c"
"list.1_purpose_and_decision.30.3","task","INPL","one Brain plugin and one Skills plugin","Plan-derived item; local fake-tier / docs evidence on branch (not live-proven)","OpenClaw","Live/stage residual unproven","Codex verify classification and evidence","list.1_purpose_and_decision.30.3","30","34fe99ed6f158b9921974771f34305af0f0e0f37dd30dc0421088b18557a305e"
"list.1_purpose_and_decision.31.4","task","INPL","one Brain managed MCP server and one Skills managed MCP server","Plan-derived item; local fake-tier / docs evidence on branch (not live-proven)","OpenClaw","Live/stage residual unproven","Codex verify classification and evidence","list.1_purpose_and_decision.31.4","31","7035ca5cc14e3ae5f648917f7cdae52f838c186d390cabed9a450941bd1750d9"
"list.1_purpose_and_decision.32.5","task","INPL","Brain-only access to the minimum conversation-bearing lifecycle events required for capture, compaction safety, and coordination","Plan-derived item; local fake-tier / docs evidence on branch (not live-proven)","OpenClaw","Live/stage residual unproven","Codex verify classification and evidence","list.1_purpose_and_decision.32.5","32","6910f4eb6fbb5d2ef5fd98e1ce37ee12f4908bff480e790ab201371563c421af"
"list.1_purpose_and_decision.33.6","task","INPL","Skills access only to contract-approved structured execution and tool telemetry","Plan-derived item; local fake-tier / docs evidence on branch (not live-proven)","OpenClaw","Live/stage residual unproven","Codex verify classification and evidence","list.1_purpose_and_decision.33.6","33","6626d0fc82c0f1594986d76a40cbba008bcf55e74993171a21fe9b4263f890fa"
"list.1_purpose_and_decision.34.7","task","INPL","separate credentials, scopes, flags, state, outboxes, health, telemetry, retention, rollout, rollback, and evidence windows","Plan-derived item; local fake-tier / docs evidence on branch (not live-proven)","OpenClaw","Live/stage residual unproven","Codex verify classification and evidence","list.1_purpose_and_decision.34.7","34","a12ae64200b0c5fa54c8fb437ab05b4f76a42f70041c95f57169803a55729ef3"
"list.1_purpose_and_decision.35.8","task","INPL","Platform-owned identity, claims, credential lifecycle, infrastructure, secret injection, migrations, generic Librarian hosting, and audit","Plan-derived item; local fake-tier / docs evidence on branch (not live-proven)","OpenClaw","Live/stage residual unproven","Codex verify classification and evidence","list.1_purpose_and_decision.35.8","35","5bed361aa908cc9a3eb8e49cff593af33b665efa3bf297db8cafccf5a9f9c34e"
"list.1_purpose_and_decision.36.9","task","INPL","OpenClaw-owned plugin implementation, Lisa profile integration, tests, rollout, and operational evidence","Plan-derived item; local fake-tier / docs evidence on branch (not live-proven)","OpenClaw","Live/stage residual unproven","Codex verify classification and evidence","list.1_purpose_and_decision.36.9","36","ad7bcc38d33ec8ddce9a60e0407ecb491a36277d3a24e0b21a4954611adea675"
